  probclr   probfeed   va1    pa1   va2   sa   vb1    pb1   vb2   sb   id     t   d     v     f
        34        1       100  1.0    .  354     25  1.00   .   17   1   89  2     38    216
        34        1       100  1.0    .  354     25  1.00   .   17   1   90  2     52    235
        34        1       100  1.0    .  354     25  1.00   .   17   1   91  2     37   -293
        34        1       100  1.0    .  354     25  1.00   .   17   1   92  2      4   -275
        34        1       100  1.0    .  354     25  1.00   .   17   1   93  2     38   -435
        34        1       100  1.0    .  354     25  1.00   .   17   1   94  2     15    162
        34        1       100  1.0    .  354     25  1.00   .   17   1   95  2     31    168
        34        1       100  1.0    .  354     25  1.00   .   17   1   96  1   -412     31
        34        1       100  1.0    .  354     25  1.00   .   17   1   97  2     27     27
        34        1       100  1.0    .  354     25  1.00   .   17   1   98  2     30   -284
        34        1       100  1.0    .  354     25  1.00   .   17   1   99  2     22   -410
        34        1       100  1.0    .  354     25  1.00   .   17   1  100  2     22    657
        34        1       100  1.0    .  354     25  1.00   .   17   1  101  2     16   -307
        34        1       100  1.0    .  354     25  1.00   .   17   1  102  2     32    471
        34        1       100  1.0    .  354     25  1.00   .   17   1  103  1    336     20
        34        1       100  1.0    .  354     25  1.00   .   17   1  104  1   -105      9
        34        1       100  1.0    .  354     25  1.00   .   17   1  105  1    143     37
        34        1       100  1.0    .  354     25  1.00   .   17   1  106  2     51    334
        34        1       100  1.0    .  354     25  1.00   .   17   1  107  2      0   -304
        34        1       100  1.0    .  354     25  1.00   .   17   1  108  2     10    466
        34        1       100  1.0    .  354     25  1.00   .   17   1  109  2     35     14
        34        1       100  1.0    .  354     25  1.00   .   17   1  110  2     24    930
        34        1       100  1.0    .  354     25  1.00   .   17   1  111  2      9    119
        34        1       100  1.0    .  354     25  1.00   .   17   1  112  1    216     19
        34        1       100  1.0    .  354     25  1.00   .   17   1  113  1      0     36
        34        1       100  1.0    .  354     25  1.00   .   17   1  114  1   -371     20
        34        1       100  1.0    .  354     25  1.00   .   17   1  115  2     11    -65
        34        1       100  1.0    .  354     25  1.00   .   17   1  116  2      6    357
        34        1       100  1.0    .  354     25  1.00   .   17   1  117  1     57     31
        34        1       100  1.0    .  354     25  1.00   .   17   1  118  1   -273     55
        34        1       100  1.0    .  354     25  1.00   .   17   1  119  2     27    390
        34        1       100  1.0    .  354     25  1.00   .   17   1  120  2     51   -138
        34        1       100  1.0    .  354     25  1.00   .   17   1  121  2      2    654
        34        1       100  1.0    .  354     25  1.00   .   17   1  122  2     58    319
        34        1       100  1.0    .  354     25  1.00   .   17   1  123  2      0    201
        34        1       100  1.0    .  354     25  1.00   .   17   1  124  1     64     20
        34        1       100  1.0    .  354     25  1.00   .   17   1  125  1   -218     49
        34        1       100  1.0    .  354     25  1.00   .   17   1  126  2     42   -109
        34        1       100  1.0    .  354     25  1.00   .   17   1  127  2     28     18
        34        1       100  1.0    .  354     25  1.00   .   17   1  128  1    553     32
        34        1       100  1.0    .  354     25  1.00   .   17   1  129  1   -392     63
        34        1       100  1.0    .  354     25  1.00   .   17   1  130  2     15   -295
        34        1       100  1.0    .  354     25  1.00   .   17   1  131  1    136     16
        34        1       100  1.0    .  354     25  1.00   .   17   1  132  1    230     41
        34        1       100  1.0    .  354     25  1.00   .   17   1  133  1    423     19
        34        1       100  1.0    .  354     25  1.00   .   17   1  134  1   -172     -2
        34        1       100  1.0    .  354     25  1.00   .   17   1  135  2     23    878
        34        1       100  1.0    .  354     25  1.00   .   17   1  136  2      9    -23
        34        1       100  1.0    .  354     25  1.00   .   17   1  137  2     34    408
        34        1       100  1.0    .  354     25  1.00   .   17   1  138  2      0    322
        34        1       100  1.0    .  354     25  1.00   .   17   1  139  1   -625     17
        34        1       100  1.0    .  354     25  1.00   .   17   1  140  2     59   -750
        34        1       100  1.0    .  354     25  1.00   .   17   1  141  2     15   -106
        34        1       100  1.0    .  354     25  1.00   .   17   1  142  1   -346     46
        34        1       100  1.0    .  354     25  1.00   .   17   1  143  2     23   -178
        34        1       100  1.0    .  354     25  1.00   .   17   1  144  2     51   -168
        34        1       100  1.0    .  354     25  1.00   .   17   1  145  1    417     20
        34        1       100  1.0    .  354     25  1.00   .   17   1  146  2      0    537
        34        1       100  1.0    .  354     25  1.00   .   17   1  147  1    345    -20
        34        1       100  1.0    .  354     25  1.00   .   17   1  148  1    460     14
        34        1       100  1.0    .  354     25  1.00   .   17   1  149  1    -68     25
        34        1       100  1.0    .  354     25  1.00   .   17   1  150  2      3     68
        34        1       100  1.0    .  354     25  1.00   .   17   1  151  1    -93     17
        34        1       100  1.0    .  354     25  1.00   .   17   1  152  2     40    477
        34        1       100  1.0    .  354     25  1.00   .   17   1  153  2     27    125
        34        1       100  1.0    .  354     25  1.00   .   17   1  154  2      7   -264
        34        1       100  1.0    .  354     25  1.00   .   17   1  155  2     61    313
        34        1       100  1.0    .  354     25  1.00   .   17   1  156  2     21    400
        34        1       100  1.0    .  354     25  1.00   .   17   1  157  2      7    341
        34        1       100  1.0    .  354     25  1.00   .   17   1  158  2      6    366
        34        1       100  1.0    .  354     25  1.00   .   17   1  159  1    453     48
        34        1       100  1.0    .  354     25  1.00   .   17   1  160  1     97     16
        34        1       100  1.0    .  354     25  1.00   .   17   1  161  2      3    160
        34        1       100  1.0    .  354     25  1.00   .   17   1  162  2     28    304
        34        1       100  1.0    .  354     25  1.00   .   17   1  163  2     21    368
        34        1       100  1.0    .  354     25  1.00   .   17   1  164  2     24    157
        34        1       100  1.0    .  354     25  1.00   .   17   1  165  2     10   -169
        34        1       100  1.0    .  354     25  1.00   .   17   1  166  2     47    794
        34        1       100  1.0    .  354     25  1.00   .   17   1  167  2     38    571
        34        1       100  1.0    .  354     25  1.00   .   17   1  168  2     48    299
        34        1       100  1.0    .  354     25  1.00   .   17   1  169  2     54    344
        34        1       100  1.0    .  354     25  1.00   .   17   1  170  1    756     50
        34        1       100  1.0    .  354     25  1.00   .   17   1  171  1    289     21
        34        1       100  1.0    .  354     25  1.00   .   17   1  172  2      8    623
        34        1       100  1.0    .  354     25  1.00   .   17   1  173  2      8    420
        34        1       100  1.0    .  354     25  1.00   .   17   1  174  2     30   -324
        34        1       100  1.0    .  354     25  1.00   .   17   1  175  2     13    506
        34        1       100  1.0    .  354     25  1.00   .   17   1  176  2     13    367
