0,1,205.197756749
0,2,195.056286684
0,3,321.761816838
0,4,124.289053319
0,5,172.932906065
0,6,275.606544734
0,7,146.07845144
0,8,200.871195297
0,9,104.970042869
0,10,304.759139281
0,11,45.6328826067
0,12,145.928201524
1,1,216.849942356
1,2,227.699445542
1,3,266.601273628
1,4,224.866379824
1,5,245.902582286
1,6,305.24999181
1,7,268.324718159
1,8,190.043168714
1,9,57.4510783189
1,10,223.46511579
1,11,244.658753726
1,12,257.489105352
2,1,34.4286127371
2,2,36.2873586804
2,3,36.3486970193
2,4,37.7037713631
2,5,22.0295256417
2,6,31.2712227935
2,7,30.9660293709
2,8,25.5850420168
2,9,27.5853221841
2,10,34.0535401978
2,11,29.3504258913
2,12,29.271938781
